customer_id,gender,senior_citizen,partner,dependents,tenure,contract_type,paperless_billing,payment_method,monthly_call_minutes,monthly_data_usage_gb,number_of_calls,international_calls,roaming_usage,monthly_charges,total_charges,avg_revenue_per_user,internet_service,online_security,tech_support,streaming_tv,streaming_movies,network_type,churn_risk,churn,segment,churn_prediction
CUST00028,Female,0,1,0,66,One year,0,Bank transfer,739.22,66.01,29,47,16.88,192.25,34753.32,952.43,DSL,0,1,0,1,Airtel,Low,No,2,0.2
CUST00029,Female,0,0,1,31,Two year,1,Electronic check,1885.95,133.66,486,32,13.62,216.17,37058.51,1143.42,Fiber,1,1,0,0,Vodafone,Low,No,2,0.2
CUST00030,Female,1,0,1,62,Month-to-month,0,Credit card,1818.21,4.26,350,0,3.99,341.17,29730.62,1076.99,Fiber,0,0,0,0,Jio,Medium,No,2,0.5
CUST00031,Male,0,0,0,54,Month-to-month,0,Bank transfer,238.95,143.51,182,20,10.99,709.06,4527.65,941.17,Fiber,1,0,0,1,Vodafone,Low,No,2,0.2
CUST00032,Male,1,1,1,8,Two year,1,Electronic check,34.86,27.28,154,16,4.28,538.85,44061.43,250.71,Fiber,0,0,0,1,Vodafone,Medium,No,2,0.5
CUST00033,Female,0,1,0,42,Two year,1,Bank transfer,1504.5,107.97,75,33,6.03,768.13,35058.24,198.27,DSL,0,0,0,1,Airtel,Low,No,2,0.2
CUST00034,Female,1,1,0,41,Two year,0,Electronic check,619.89,117.91,235,28,13.72,1660.82,39599.54,330.84,DSL,0,0,1,0,Airtel,Medium,No,1,0.5
CUST00035,Female,0,1,0,59,Month-to-month,0,Electronic check,1671.01,110.4,415,2,3.69,1614.6,47075.97,969.82,DSL,0,1,0,1,Jio,Medium,No,1,0.5
CUST00036,Male,0,0,0,40,Two year,1,Bank transfer,438.7,51.21,443,48,1.82,765.4,48422.63,830.68,Fiber,1,1,0,1,Airtel,Low,No,2,0.2
CUST00037,Female,0,0,0,22,One year,0,Credit card,989.5,105.72,463,23,10.63,1352.66,48192.74,865.2,DSL,0,1,1,0,Airtel,Medium,No,0,0.5
CUST00038,Male,1,1,0,24,One year,1,Electronic check,75.56,71.21,290,33,0.02,807.06,13844.58,639.84,Fiber,1,1,0,0,Vodafone,Low,No,2,0.2
CUST00039,Male,1,1,0,38,Two year,1,Electronic check,1790.48,23.25,136,1,12.18,832.32,42655.31,1252.09,Fiber,0,1,0,1,Airtel,Low,No,2,0.2
CUST00040,Male,1,1,1,2,One year,0,Bank transfer,364.17,30.54,139,30,18.03,1382.87,47953.86,1139.03,Fiber,1,0,0,1,Airtel,High,Yes,0,0.8
CUST00041,Male,1,1,0,41,One year,1,Credit card,596.46,4.39,263,39,3.8,829.21,35462.81,172.04,None,0,1,0,1,Vodafone,Medium,No,2,0.5
CUST00042,Male,0,0,1,19,Month-to-month,1,Bank transfer,964.6,50.13,436,6,7.66,1142.59,35938.16,380.4,None,1,0,1,0,Jio,Low,No,0,0.2
CUST00043,Female,0,1,0,2,Two year,0,Mailed check,549.82,109.33,410,28,18.33,317.93,44267.85,864.02,Fiber,1,0,0,0,Jio,Medium,No,2,0.5
CUST00044,Female,0,0,0,62,One year,1,Bank transfer,89.93,145.37,82,10,14.08,1122.75,14733.64,367.81,Fiber,0,0,1,1,Airtel,Low,No,1,0.2
CUST00045,Female,1,1,0,16,Two year,1,Mailed check,67.88,20.47,157,42,2.71,1508.8,9997.34,297.6,Fiber,1,1,1,1,Airtel,Medium,No,0,0.5
CUST00046,Female,0,1,1,22,Two year,0,Electronic check,1910.87,53.32,430,24,7.64,1786.91,22129.56,113.34,None,0,0,1,1,Jio,Medium,No,0,0.5
CUST00047,Female,1,1,1,14,One year,0,Credit card,657.74,27.63,445,18,15.12,378.79,47519.0,1476.14,None,0,0,0,1,Jio,Low,No,2,0.2
CUST00048,Male,1,0,1,56,One year,1,Credit card,675.44,114.25,88,10,13.3,879.35,3493.17,423.87,Fiber,1,0,0,1,Vodafone,Low,No,1,0.2
CUST00049,Female,1,1,1,65,Month-to-month,0,Bank transfer,1846.57,137.98,291,44,3.11,1022.75,22404.31,691.42,None,0,0,1,1,Jio,Low,No,1,0.2
CUST00050,Female,1,0,1,45,Month-to-month,1,Mailed check,1673.95,17.54,418,34,1.25,1818.14,34694.53,977.71,DSL,1,0,0,0,Jio,Medium,No,1,0.5
CUST00051,Male,1,0,1,54,Month-to-month,1,Bank transfer,1377.01,135.59,329,32,13.63,588.08,32737.99,444.73,DSL,0,0,1,1,Jio,Low,No,2,0.2
CUST00052,Female,0,1,0,66,One year,1,Credit card,1320.43,41.09,424,4,12.18,413.76,40590.06,1239.54,Fiber,1,1,1,1,Airtel,Low,No,2,0.2
CUST00053,Male,1,0,0,46,Month-to-month,0,Mailed check,1604.16,33.85,423,34,1.19,367.83,13845.49,929.52,DSL,1,0,1,0,Jio,Low,No,2,0.2
CUST00054,Female,1,0,1,33,Two year,1,Credit card,346.06,8.97,378,2,19.5,393.27,12080.68,1058.7,DSL,0,1,0,1,Airtel,Medium,No,2,0.5
CUST00055,Male,0,0,1,50,Month-to-month,1,Mailed check,1331.91,12.53,403,30,5.05,1751.1,41458.5,315.15,None,0,0,0,0,Jio,Medium,No,1,0.5
CUST00056,Female,1,1,1,22,Month-to-month,0,Bank transfer,205.81,10.85,431,11,7.72,1276.63,41372.81,1111.65,DSL,1,0,0,1,Jio,Medium,No,0,0.5
CUST00057,Female,1,0,1,40,Month-to-month,0,Electronic check,261.76,67.24,118,3,3.55,898.38,12816.98,174.16,Fiber,1,0,0,1,Jio,Low,No,2,0.2
CUST00058,Male,0,0,1,39,Two year,0,Electronic check,493.08,98.97,133,31,16.57,1745.8,22293.38,549.32,None,1,1,0,0,Jio,Medium,No,1,0.5
CUST00059,Male,0,1,0,41,Two year,0,Mailed check,1422.51,28.07,94,49,19.25,665.25,22857.82,702.77,Fiber,1,0,0,0,Jio,Low,No,2,0.2
CUST00060,Male,0,1,0,68,One year,1,Mailed check,1786.16,33.04,481,49,4.27,1861.93,25906.88,233.18,DSL,0,0,0,0,Vodafone,Medium,No,1,0.5
CUST00061,Male,1,0,0,7,Month-to-month,0,Electronic check,1384.66,26.35,107,23,5.66,1540.83,41902.75,882.91,DSL,1,1,0,0,Jio,High,Yes,0,0.8
CUST00062,Male,0,0,0,71,Two year,0,Bank transfer,839.08,121.08,421,35,14.13,138.1,30367.65,577.31,Fiber,1,1,0,1,Airtel,Low,No,2,0.2
CUST00063,Male,0,0,0,4,Two year,1,Bank transfer,1032.19,21.01,381,1,10.56,978.0,26151.46,289.4,Fiber,0,0,1,1,Airtel,Medium,No,0,0.5
CUST00064,Male,0,0,0,59,Two year,1,Credit card,1427.53,11.47,494,4,2.1,1699.69,14829.5,499.65,DSL,0,1,1,0,Vodafone,Medium,No,1,0.5
CUST00065,Male,1,1,0,26,One year,0,Credit card,1230.43,5.99,161,11,18.57,851.67,2500.11,912.34,Fiber,1,0,0,0,Airtel,Medium,No,0,0.5
CUST00066,Female,0,1,0,31,One year,0,Electronic check,1063.64,6.5,422,24,12.22,1974.57,45946.53,415.44,DSL,0,0,1,0,Vodafone,High,Yes,0,0.8
CUST00067,Female,1,0,1,69,One year,0,Electronic check,481.22,82.23,90,40,6.03,1707.51,35952.26,758.38,DSL,0,1,1,0,Jio,Medium,No,1,0.5
CUST00068,Male,1,1,1,52,Month-to-month,0,Electronic check,1237.75,14.55,368,23,9.8,1529.8,4183.01,1066.58,Fiber,1,1,0,0,Jio,Medium,No,1,0.5
CUST00069,Female,0,0,0,21,Two year,1,Mailed check,47.15,33.75,481,24,10.0,356.46,15228.5,955.87,Fiber,0,0,0,1,Jio,Low,No,2,0.2
CUST00070,Female,1,1,0,16,One year,0,Credit card,1124.51,124.99,26,43,10.51,303.95,32528.49,1169.7,DSL,0,1,1,1,Vodafone,Low,No,2,0.2
CUST00071,Female,1,1,0,51,One year,1,Electronic check,1643.28,145.23,110,44,9.95,1317.26,10851.47,1068.76,Fiber,1,1,0,1,Vodafone,Medium,No,1,0.5
CUST00072,Female,0,0,1,16,Two year,1,Electronic check,367.7,129.2,79,44,11.24,1355.71,5701.78,778.14,DSL,1,1,1,1,Vodafone,Medium,No,0,0.5
CUST00073,Male,1,0,1,18,Two year,0,Credit card,237.28,143.96,329,17,7.87,379.28,27740.86,827.56,None,1,1,0,1,Vodafone,Low,No,2,0.2
CUST00074,Female,0,0,0,47,Month-to-month,1,Electronic check,1940.77,100.73,371,19,2.92,1721.53,16787.6,470.6,DSL,0,0,0,0,Jio,Medium,No,1,0.5
CUST00075,Male,1,0,1,56,Month-to-month,0,Electronic check,1688.49,148.09,366,32,13.29,1759.09,41473.13,1404.84,DSL,1,1,0,1,Vodafone,Medium,No,1,0.5
CUST00076,Female,1,1,0,28,Month-to-month,0,Bank transfer,610.98,74.7,247,28,15.85,890.52,47560.37,1362.7,Fiber,0,0,0,1,Vodafone,Low,No,0,0.2
CUST00077,Female,0,1,0,56,One year,0,Credit card,425.06,119.31,424,28,16.82,1253.69,29589.26,1242.98,DSL,1,1,1,0,Jio,Medium,No,1,0.5
CUST00078,Female,0,0,0,37,One year,0,Bank transfer,674.74,145.76,66,21,0.44,1069.4,35788.34,308.66,DSL,0,0,1,0,Airtel,Low,No,1,0.2
CUST00079,Male,1,1,0,16,Two year,1,Credit card,868.14,106.54,413,11,8.09,166.76,49179.73,1181.24,DSL,1,1,0,0,Airtel,Low,No,2,0.2
CUST00080,Female,1,1,0,65,Month-to-month,0,Electronic check,1643.95,143.53,439,33,19.57,270.79,11684.67,1398.53,Fiber,0,1,0,0,Jio,Low,No,2,0.2
CUST00081,Male,0,0,1,60,Two year,1,Mailed check,486.02,38.42,139,3,1.25,1580.58,45290.7,1373.73,None,1,0,0,1,Vodafone,Medium,No,1,0.5
CUST00082,Female,1,0,0,61,Month-to-month,0,Mailed check,1444.48,45.39,114,4,15.71,1026.8,28187.39,1367.08,DSL,0,1,1,1,Vodafone,Low,No,1,0.2
CUST00083,Male,1,1,0,11,Month-to-month,1,Bank transfer,1859.29,59.89,91,9,2.52,1259.71,9788.19,1043.52,Fiber,0,1,1,0,Airtel,High,Yes,0,0.8
CUST00084,Female,1,0,0,66,Month-to-month,1,Mailed check,765.23,69.96,59,21,16.49,1263.45,14813.85,450.31,Fiber,1,1,0,0,Vodafone,Medium,No,1,0.5
CUST00085,Male,1,0,0,32,Month-to-month,0,Mailed check,61.83,134.66,453,24,13.44,820.28,34560.04,919.78,Fiber,0,0,0,0,Jio,Low,No,2,0.2
CUST00086,Male,0,1,1,19,Two year,0,Bank transfer,1656.96,133.24,479,0,14.5,154.88,46137.72,497.35,DSL,1,0,1,1,Vodafone,Low,No,2,0.2
CUST00087,Female,0,1,0,56,Two year,1,Electronic check,1419.74,98.87,306,9,19.55,1594.13,6389.05,1221.12,Fiber,0,0,0,1,Airtel,Medium,No,1,0.5
CUST00088,Male,0,0,0,5,One year,1,Credit card,306.65,35.23,494,14,18.79,989.04,32143.11,341.03,DSL,1,0,0,0,Airtel,Medium,No,0,0.5
CUST00089,Female,0,1,1,3,Month-to-month,1,Electronic check,1197.84,36.44,355,39,6.09,362.92,19155.95,402.96,None,1,1,1,1,Jio,Medium,No,2,0.5
CUST00090,Female,0,0,0,28,Two year,0,Bank transfer,1651.38,94.95,341,30,7.5,139.04,16423.97,471.13,None,1,0,0,0,Airtel,Low,No,2,0.2
CUST00091,Female,0,0,0,29,Month-to-month,0,Electronic check,370.25,75.76,463,16,8.14,132.29,9412.12,932.01,DSL,0,1,1,0,Jio,Low,No,2,0.2
CUST00092,Female,1,1,0,59,Month-to-month,0,Electronic check,453.57,39.15,154,11,3.61,162.36,44463.89,923.16,DSL,0,1,1,0,Airtel,Low,No,2,0.2
CUST00093,Female,0,1,0,25,One year,0,Bank transfer,411.55,25.65,215,4,7.62,393.54,18530.64,869.01,DSL,1,0,0,0,Jio,Low,No,2,0.2
CUST00094,Female,1,0,1,22,One year,1,Bank transfer,1995.03,108.53,403,37,19.58,538.79,22442.69,303.42,DSL,1,0,0,0,Jio,Low,No,2,0.2
CUST00095,Female,1,0,0,71,Two year,1,Bank transfer,466.75,122.08,99,47,9.79,568.57,10765.26,748.81,DSL,1,0,0,1,Airtel,Low,No,2,0.2
CUST00096,Female,1,0,0,23,Two year,1,Mailed check,541.17,39.57,380,38,19.05,1300.04,30588.25,1399.86,DSL,1,1,1,1,Airtel,Medium,No,0,0.5
CUST00097,Female,0,1,1,70,One year,1,Bank transfer,105.37,64.03,460,8,1.43,557.97,22289.84,1413.52,DSL,0,1,0,0,Airtel,Low,No,2,0.2
CUST00098,Female,1,0,0,40,Two year,1,Bank transfer,1966.72,107.17,179,16,0.79,1379.52,10053.6,772.65,Fiber,0,0,0,0,Jio,Medium,No,1,0.5
CUST00099,Female,0,1,0,14,Two year,0,Bank transfer,501.04,70.65,247,28,11.51,1663.36,15868.85,467.36,Fiber,1,1,0,1,Vodafone,Medium,No,0,0.5
CUST00100,Male,1,0,1,29,One year,0,Bank transfer,1453.21,144.21,472,41,14.73,830.1,19862.77,1489.74,DSL,1,0,1,1,Jio,Low,No,2,0.2
CUST00101,Male,1,1,0,16,Month-to-month,1,Electronic check,62.47,19.88,409,16,4.35,1463.87,4310.49,407.94,DSL,0,1,1,0,Jio,Medium,No,0,0.5
CUST00102,Female,0,0,1,10,Month-to-month,0,Bank transfer,1568.97,128.22,175,45,10.07,296.84,3067.12,1277.31,Fiber,1,1,0,1,Jio,Medium,No,2,0.5
CUST00103,Female,1,1,0,47,One year,0,Credit card,1503.71,46.26,151,13,17.46,722.06,49628.07,512.55,Fiber,0,0,1,0,Vodafone,Low,No,2,0.2
CUST00104,Female,1,0,1,4,Month-to-month,0,Bank transfer,177.46,103.21,429,19,15.23,1396.01,46421.79,1373.88,DSL,1,1,1,1,Vodafone,High,Yes,0,0.8
CUST00105,Female,1,0,0,12,Month-to-month,0,Credit card,253.98,38.43,406,46,4.64,1869.39,29861.21,266.51,Fiber,0,0,0,0,Airtel,Medium,No,0,0.5
CUST00106,Female,1,0,0,42,One year,0,Credit card,597.27,144.99,196,26,6.69,1268.55,12616.31,542.81,Fiber,1,0,1,0,Airtel,Medium,No,1,0.5
CUST00107,Female,0,0,1,4,Two year,1,Mailed check,715.79,8.0,164,38,6.12,790.29,12004.43,1000.18,Fiber,1,1,1,1,Jio,High,Yes,0,0.8
CUST00108,Female,1,1,0,6,One year,1,Mailed check,1569.16,77.28,273,47,14.39,695.01,22305.98,232.54,DSL,0,1,1,0,Vodafone,Medium,No,2,0.5
CUST00109,Female,1,1,1,14,One year,0,Electronic check,131.77,136.62,96,19,19.36,842.94,19614.7,648.42,None,0,1,0,0,Jio,Low,No,0,0.2
CUST00110,Male,0,1,1,35,Month-to-month,1,Bank transfer,1303.98,70.74,242,22,5.6,1339.51,36784.97,651.15,DSL,1,0,0,1,Vodafone,Medium,No,0,0.5
CUST00111,Female,1,1,1,47,One year,1,Bank transfer,464.78,126.13,318,8,11.77,720.28,20651.91,815.71,DSL,1,0,1,0,Jio,Low,No,2,0.2
CUST00112,Male,1,1,1,58,Month-to-month,0,Credit card,771.11,142.5,212,48,19.77,992.0,47791.01,105.1,DSL,0,1,1,1,Jio,Low,No,1,0.2
CUST00113,Female,1,0,0,65,One year,0,Bank transfer,14.39,10.64,142,18,3.15,1541.1,13019.05,1011.78,None,1,0,0,0,Jio,Medium,No,1,0.5
CUST00114,Female,1,1,1,19,Two year,0,Credit card,589.34,73.58,142,31,13.18,550.78,1818.89,673.09,DSL,0,0,1,1,Vodafone,Low,No,2,0.2
CUST00115,Male,0,1,0,57,Month-to-month,0,Mailed check,350.96,103.12,482,11,6.64,1460.37,30363.63,438.94,None,1,1,0,0,Airtel,Medium,No,1,0.5
CUST00116,Female,1,1,0,65,One year,1,Electronic check,1012.9,124.91,347,1,19.83,1545.77,49402.71,388.76,DSL,1,0,1,1,Vodafone,Medium,No,1,0.5
CUST00117,Male,0,1,1,13,Month-to-month,0,Mailed check,324.8,24.89,313,35,2.18,1739.98,42645.02,1185.05,DSL,0,0,0,0,Vodafone,Medium,No,0,0.5
CUST00118,Female,1,0,1,8,One year,0,Bank transfer,1673.28,85.23,256,20,9.03,144.35,758.06,500.83,None,1,0,1,0,Jio,Medium,No,2,0.5
CUST00119,Female,1,0,0,18,One year,1,Credit card,1766.98,24.86,259,39,5.1,315.15,28972.65,1048.21,DSL,0,0,1,1,Jio,Low,No,2,0.2
CUST00120,Male,1,0,1,35,One year,0,Mailed check,1692.13,113.43,252,42,0.63,1913.19,22962.72,113.75,DSL,1,0,1,0,Vodafone,Medium,No,0,0.5
CUST00121,Female,0,0,0,26,Month-to-month,1,Bank transfer,1963.79,43.05,289,10,19.27,337.98,38534.12,1458.42,DSL,1,0,1,0,Airtel,Low,No,2,0.2
CUST00122,Male,1,1,1,38,Month-to-month,1,Credit card,1830.15,40.69,210,27,11.36,1025.95,13009.68,212.54,DSL,0,0,0,0,Jio,Low,No,1,0.2
CUST00123,Female,1,1,0,66,Two year,0,Bank transfer,566.78,115.59,468,11,14.02,416.2,12565.32,666.34,Fiber,0,1,0,1,Airtel,Low,No,2,0.2
CUST00124,Male,0,0,0,26,Two year,1,Bank transfer,635.78,126.38,215,4,12.41,1641.59,16177.03,1034.68,Fiber,0,1,1,0,Airtel,Medium,No,0,0.5
CUST00125,Male,0,0,1,57,Two year,0,Electronic check,1069.99,51.83,307,49,2.97,282.36,12685.05,973.96,None,1,1,0,1,Jio,Low,No,2,0.2
CUST00126,Female,0,1,0,25,Two year,1,Mailed check,776.07,75.41,146,14,3.41,261.67,1585.92,1349.5,None,1,0,0,0,Jio,Low,No,2,0.2
CUST00127,Female,0,1,0,30,One year,0,Bank transfer,1940.12,104.17,457,31,12.53,1057.94,31595.45,1457.6,Fiber,1,0,1,1,Vodafone,Low,No,0,0.2
CUST00128,Male,1,0,1,7,Month-to-month,0,Bank transfer,685.67,111.9,206,16,15.6,551.54,30831.26,1107.66,DSL,1,0,0,0,Jio,Medium,No,2,0.5
CUST00129,Female,1,0,1,27,One year,1,Electronic check,1482.76,115.63,387,40,12.22,1355.96,42663.31,994.28,DSL,0,1,1,1,Vodafone,Medium,No,0,0.5
CUST00130,Female,1,0,1,11,Month-to-month,0,Electronic check,1154.97,58.86,100,35,11.41,1400.12,35038.47,237.69,DSL,1,0,0,1,Vodafone,High,Yes,0,0.8
CUST00131,Female,1,0,1,8,Month-to-month,1,Credit card,1913.4,80.68,404,13,14.92,1212.49,32222.98,716.88,DSL,1,1,0,1,Jio,High,Yes,0,0.8
CUST00132,Male,0,1,1,11,One year,1,Bank transfer,1491.59,16.88,229,40,4.87,1684.81,11988.63,361.79,None,1,1,0,0,Jio,High,Yes,0,0.8
CUST00133,Male,1,1,0,30,One year,0,Bank transfer,614.26,142.31,146,8,14.63,1423.97,37136.46,631.48,Fiber,0,1,1,0,Airtel,Medium,No,0,0.5
CUST00134,Male,1,1,0,15,Month-to-month,1,Bank transfer,402.17,105.36,342,16,8.22,455.28,42841.23,297.91,Fiber,1,1,1,1,Airtel,Low,No,2,0.2
CUST00135,Male,1,0,1,56,Two year,0,Bank transfer,1710.69,56.65,70,43,13.48,247.97,22473.41,1199.5,DSL,0,0,0,0,Airtel,Low,No,2,0.2
CUST00136,Male,1,1,0,35,Two year,1,Electronic check,1822.92,58.75,348,6,5.49,1519.75,27255.0,818.39,Fiber,0,0,1,0,Vodafone,Medium,No,0,0.5
CUST00137,Male,0,1,0,39,Month-to-month,0,Mailed check,1663.88,14.03,81,31,2.75,1505.04,39324.66,254.8,DSL,0,0,1,0,Jio,Medium,No,1,0.5
CUST00138,Male,1,0,0,24,One year,1,Electronic check,1477.52,68.81,320,43,0.58,1714.61,23548.25,829.13,DSL,0,1,0,0,Vodafone,Medium,No,0,0.5
CUST00139,Male,1,0,0,8,One year,1,Credit card,650.24,101.12,461,43,16.07,483.46,33492.45,561.16,DSL,0,0,1,1,Airtel,Medium,No,2,0.5
CUST00140,Male,1,0,0,43,Month-to-month,1,Electronic check,1015.69,142.91,373,5,3.94,522.98,11133.81,801.9,None,1,1,1,0,Vodafone,Low,No,2,0.2
CUST00141,Female,0,0,1,42,One year,1,Mailed check,1832.25,97.31,290,15,7.27,1194.68,29420.51,459.6,Fiber,0,1,0,1,Airtel,Low,No,1,0.2
CUST00142,Male,0,0,1,41,Month-to-month,1,Bank transfer,278.45,97.78,136,1,15.38,394.68,2340.3,1158.93,DSL,1,1,0,1,Airtel,Low,No,2,0.2
CUST00143,Female,1,0,0,47,Month-to-month,0,Credit card,994.89,118.07,208,9,9.0,662.04,10844.1,111.38,None,1,1,1,1,Vodafone,Low,No,2,0.2
CUST00144,Female,1,1,0,26,Month-to-month,0,Credit card,717.46,76.72,321,3,4.35,1642.62,46083.21,296.31,DSL,0,0,1,1,Jio,Medium,No,0,0.5
CUST00145,Female,1,1,1,52,One year,1,Bank transfer,1358.2,5.3,292,4,3.9,734.0,29963.28,899.88,Fiber,0,0,0,0,Jio,Medium,No,2,0.5
CUST00146,Male,0,1,1,22,Two year,0,Mailed check,1271.8,133.53,497,36,8.16,120.52,23047.66,1007.6,None,1,1,1,1,Jio,Low,No,2,0.2
CUST00147,Male,1,1,1,5,Month-to-month,0,Electronic check,1124.51,60.67,252,38,11.3,1335.57,26337.63,158.24,DSL,1,1,0,1,Vodafone,High,Yes,0,0.8
CUST00148,Male,1,1,1,15,One year,0,Bank transfer,566.44,147.71,160,25,7.85,442.11,501.45,1032.81,None,0,0,1,1,Jio,Low,No,2,0.2
CUST00149,Male,1,1,0,36,Two year,1,Mailed check,327.5,61.25,49,29,18.09,471.08,23250.17,382.16,None,1,0,1,0,Airtel,Low,No,2,0.2
CUST00150,Female,0,0,1,63,Month-to-month,0,Mailed check,1570.83,100.42,380,1,0.08,130.41,7627.13,306.52,DSL,0,1,0,1,Vodafone,Low,No,2,0.2
CUST00151,Male,1,0,1,49,Two year,0,Mailed check,1983.58,69.25,486,17,8.04,1197.26,42977.58,128.17,None,1,0,0,1,Vodafone,Low,No,1,0.2
CUST00152,Male,1,0,0,55,One year,1,Bank transfer,346.5,35.25,67,6,14.86,1166.62,20969.45,788.42,Fiber,1,0,0,0,Jio,Low,No,1,0.2
CUST00153,Male,0,1,1,60,Two year,1,Mailed check,160.83,139.65,45,45,17.82,282.23,11984.44,1153.3,None,0,0,1,0,Vodafone,Low,No,2,0.2
CUST00154,Male,0,1,1,57,Two year,1,Credit card,1494.0,94.26,262,46,7.17,194.82,25836.54,933.66,None,0,1,0,0,Vodafone,Low,No,2,0.2
